player_id,player_name,season,fbref_player,age,birth_year,nation,position,position_group,squad,competition,foot,height_in_cm,market_value_eur,highest_market_value_in_eur,valuation_date,tm_match_method,tm_match_score,source_file,MP,Starts,Min,90s,Gls_per90,Ast_per90,xG_per90,npxG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,KP_per90,PPA_per90,Tkl_per90,TklW_per90,Int_per90,Blocks_per90,Clr_per90,Touches_per90,Carries_per90,Mis_per90,Dis_per90,Rec_per90,Recov_per90,AerWon_per90,AerLost_per90
92571,Aaron Cresswell,2021_2022,Aaron Cresswell,32.0,1989,ENG,DF,DF,West Ham,Premier League,left,170.0,3000000,12000000,2022-06-15,exact_name_birth_year,100,2021-2022 Football Player Stats.csv,31.0,31.0,2726.0,30.3,0.07,0.1,0.0,,0.0,3.63,5.12,0.96,0.59,0.1,1.16,0.79,0.99,0.63,1.42,1.58,2.51,75.6,46.2,0.3,0.36,48.3,8.02,1.19,0.99
591949,Aaron Hickey,2021_2022,Aaron Hickey,19.0,2002,SCO,DF,DF,Bologna,Serie A,both,185.0,18000000,30000000,2022-06-07,exact_name_birth_year,100,2021-2022 Football Player Stats.csv,36.0,34.0,2820.0,31.3,0.16,0.03,0.0,,0.0,4.22,1.63,2.43,0.67,0.42,0.58,0.7,1.44,0.7,1.25,2.11,1.47,52.6,33.5,1.02,0.86,31.3,5.75,0.54,1.31
14221,Aaron Lennon,2021_2022,Aaron Lennon,35.0,1987,ENG,MF,MF,Burnley,Premier League,right,165.0,1000000,21000000,2022-06-15,exact_name_birth_year,100,2021-2022 Football Player Stats.csv,28.0,17.0,1551.0,17.2,0.12000000000000001,0.0,0.0,,0.0,3.26,0.99,2.97,0.7,0.23,0.58,0.29,2.21,1.05,0.87,1.86,0.76,32.8,21.5,1.05,0.93,20.1,5.29,0.58,1.51
477758,Aaron Wan-Bissaka,2021_2022,Aaron Wan-Bissaka,24.0,1997,ENG,DF,DF,Manchester Utd,Premier League,right,183.0,25000000,40000000,2022-06-15,exact_name_birth_year,100,2021-2022 Football Player Stats.csv,20.0,20.0,1793.0,19.9,0.0,0.0,0.0,,0.0,4.72,2.66,1.8599999999999999,0.25,0.05,0.7,0.6,2.31,1.26,2.56,2.81,2.41,68.5,43.2,0.55,1.41,40.2,8.24,0.95,1.56
251878,Aarón Martín,2021_2022,Aarón Martín,25.0,1997,ESP,DF,DF,Mainz 05,Bundesliga,left,178.0,5000000,20000000,2022-06-09,exact_name_birth_year,100,2021-2022 Football Player Stats.csv,28.0,25.0,2292.0,25.5,0.04,0.04,0.0,,0.0,2.31,3.02,1.37,0.71,0.16,1.92,1.1,2.27,1.25,1.37,1.33,1.88,53.2,29.6,0.75,0.71,28.5,6.82,0.67,1.1
340394,Abdelhamid Sabiri,2021_2022,Abdelhamid Sabiri,25.0,1996,GER,MFFW,MF,Sampdoria,Serie A,right,186.0,3000000,4000000,2022-06-07,exact_name_birth_year,100,2021-2022 Football Player Stats.csv,14.0,9.0,893.0,9.9,0.3,0.2,0.0,,0.0,2.93,2.53,5.25,1.6199999999999999,0.91,1.11,0.71,3.23,2.22,0.8099999999999999,1.01,0.61,49.7,35.2,2.42,2.12,35.3,5.05,2.12,3.03
229005,Abdou Diallo,2021_2022,Abdou Diallo,26.0,1996,SEN,DF,DF,Paris S-G,Ligue 1,left,187.0,18000000,35000000,2022-05-30,exact_name_birth_year,100,2021-2022 Football Player Stats.csv,12.0,10.0,877.0,9.7,0.0,0.1,0.0,,0.0,6.49,5.57,1.03,0.21000000000000002,0.1,0.41,0.82,2.47,1.8599999999999999,1.34,1.44,2.06,81.8,60.00000000000001,1.03,1.13,61.0,5.98,1.55,0.41
416386,Abdou Harroui,2021_2022,Abdou Harroui,24.0,1998,NED,MF,MF,Sassuolo,Serie A,both,182.0,3000000,3500000,2022-06-07,exact_name_birth_year,100,2021-2022 Football Player Stats.csv,22.0,3.0,452.0,5.0,0.0,0.0,0.0,,0.0,6.4,2.8,3.4,2.6,0.4,1.0,0.0,2.4,1.8,1.4,3.0,0.6,73.8,53.0,1.6,1.8,52.6,11.0,1.4,1.8
62351,Abdoulaye Bamba,2021_2022,Abdoulaye Bamba,32.0,1990,CIV,DF,DF,Angers,Ligue 1,right,182.0,500000,3000000,2022-05-30,exact_name_birth_year,100,2021-2022 Football Player Stats.csv,10.0,4.0,458.0,5.1,0.0,0.0,0.0,,0.0,2.75,2.35,0.78,0.2,0.0,0.39,0.59,1.18,0.0,2.35,1.96,1.57,47.5,23.7,1.57,0.39,23.5,5.88,1.37,0.98
127187,Abdoulaye Doucouré,2021_2022,Abdoulaye Doucouré,29.0,1993,MLI,MF,MF,Everton,Premier League,right,183.0,22000000,25000000,2022-06-15,exact_name_birth_year,100,2021-2022 Football Player Stats.csv,30.0,29.0,2537.0,28.2,0.07,0.14,0.0,,0.0,3.12,3.23,2.16,1.21,0.35,0.74,0.82,2.7,1.6000000000000003,1.45,1.49,1.17,49.300000000000004,29.2,1.06,0.67,27.6,12.6,1.56,1.84
337798,Abdu Conté,2021_2022,Abdu Conté,24.0,1998,POR,DF,DF,Troyes,Ligue 1,left,183.0,3000000,3000000,2022-05-30,exact_name_birth_year,100,2021-2022 Football Player Stats.csv,17.0,17.0,1347.0,15.0,0.0,0.07,0.0,,0.0,3.6,2.33,3.0,0.33,0.07,0.73,0.6,1.87,1.0,1.2,1.6,1.07,49.3,29.3,1.2,0.87,28.9,4.6,0.93,1.0
177452,Abdón Prats,2021_2022,Abdón Prats,29.0,1992,ESP,FW,FW,Mallorca,Liga,left,181.0,1500000,2000000,2022-06-03,exact_name_birth_year,100,2021-2022 Football Player Stats.csv,23.0,6.0,641.0,7.1,0.42,0.0,0.0,,0.0,1.41,1.83,6.34,2.68,0.99,0.99,0.42,0.42,0.42,0.14,0.85,0.7,34.8,19.0,2.39,2.82,24.5,4.509999999999999,4.79,4.929999999999999
398073,Achraf Hakimi,2021_2022,Achraf Hakimi,23.0,1998,MAR,DF,DF,Paris S-G,Ligue 1,right,181.0,65000000,80000000,2022-05-30,exact_name_birth_year,100,2021-2022 Football Player Stats.csv,32.0,28.0,2479.0,27.5,0.15,0.22,0.0,,0.0,6.25,3.56,4.44,0.7599999999999999,0.36,1.05,1.42,2.98,1.71,1.64,1.13,0.8,76.1,53.6,1.02,0.95,55.9,4.87,0.36,0.73
