player_id,player_name,fbref_player,age,birth_year,nation,position,position_group,squad,competition,foot,height_in_cm,market_value_eur,highest_market_value_in_eur,valuation_date,tm_match_method,tm_match_score,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Sh,SoT,KP,PPA,Tkl,TklW,Int,Tkl+Int,Blocks,Clr,Err,Touches,Carries,Mis,Dis,Rec,Recov,Won,Lost,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,xG_per90,npxG_per90,xAG_per90,npxG+xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,KP_per90,PPA_per90,Tkl_per90,TklW_per90,Int_per90,Tkl+Int_per90,Blocks_per90,Clr_per90,Touches_per90,Carries_per90,Mis_per90,Dis_per90,Rec_per90,Recov_per90
92571,Aaron Cresswell,Aaron Cresswell,34.0,1989,eng ENG,DF,DF,West Ham,Premier League,left,170.0,500000,12000000,2025-05-30,exact_name_birth_year,100,18.0,10.0,824.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.3,1.6,6.0,36.0,4.0,5.0,0.0,9.0,5.0,11.0,7.0,8.0,19.0,10.0,37.0,0.0,687.0,291.0,4.0,0.0,437.0,36.0,7.0,2.0,0.0,0.0,0.0,0.0,0.02173913043478261,0.02173913043478261,0.14130434782608697,0.1739130434782609,0.6521739130434783,3.91304347826087,0.4347826086956522,0.5434782608695653,0.0,0.9782608695652175,0.5434782608695653,1.1956521739130437,0.7608695652173914,0.8695652173913044,2.065217391304348,1.0869565217391306,4.021739130434783,74.67391304347827,31.6304347826087,0.4347826086956522,0.0,47.50000000000001,3.91304347826087
477758,Aaron Wan-Bissaka,Aaron Wan-Bissaka,26.0,1997,eng ENG,DF,DF,West Ham,Premier League,right,183.0,24000000,40000000,2025-05-30,exact_name_birth_year,100,36.0,35.0,3154.0,35.0,2.0,5.0,7.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,3.5,4.7,110.0,149.0,167.0,16.0,5.0,33.0,35.0,70.0,49.0,66.0,136.0,62.0,125.0,0.0,2256.0,1092.0,35.0,22.0,1322.0,174.0,22.0,9.0,0.05714285714285714,0.14285714285714285,0.2,0.05714285714285714,0.03428571428571429,0.03428571428571429,0.1,0.13428571428571429,3.142857142857143,4.257142857142857,4.771428571428571,0.45714285714285713,0.14285714285714285,0.9428571428571428,1.0,2.0,1.4,1.8857142857142857,3.8857142857142857,1.7714285714285714,3.5714285714285716,64.45714285714286,31.2,1.0,0.6285714285714286,37.77142857142857,4.9714285714285715
251878,Aarón Martín,Aarón Martín,27.0,1997,es ESP,DF,DF,Genoa,Serie A,left,178.0,5000000,20000000,,exact_name_birth_year,100,36.0,35.0,3085.0,34.3,0.0,8.0,8.0,0.0,0.0,0.0,5.0,0.0,0.9,0.9,5.5,6.4,50.0,90.0,108.0,16.0,4.0,65.0,30.0,71.0,47.0,19.0,90.0,30.0,73.0,1.0,1951.0,878.0,22.0,17.0,1039.0,146.0,20.0,18.0,0.0,0.23323615160349856,0.23323615160349856,0.0,0.02623906705539359,0.02623906705539359,0.16034985422740525,0.18658892128279886,1.457725947521866,2.623906705539359,3.1486880466472305,0.4664723032069971,0.11661807580174928,1.8950437317784259,0.8746355685131196,2.0699708454810497,1.370262390670554,0.5539358600583091,2.623906705539359,0.8746355685131196,2.1282798833819245,56.88046647230321,25.597667638483966,0.641399416909621,0.4956268221574344,30.291545189504376,4.256559766763849
962555,Abakar Sylla,Abakar Sylla,21.0,2002,ci CIV,DF,DF,Strasbourg,Ligue 1,left,188.0,10000000,15000000,2025-06-03,exact_name_birth_year,100,21.0,10.0,950.0,10.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.4,0.4,0.1,0.5,0.0,21.0,3.0,5.0,1.0,1.0,1.0,27.0,15.0,11.0,38.0,7.0,63.0,0.0,791.0,425.0,5.0,4.0,497.0,39.0,20.0,2.0,0.09433962264150944,0.0,0.09433962264150944,0.09433962264150944,0.03773584905660378,0.03773584905660378,0.009433962264150945,0.04716981132075472,0.0,1.9811320754716981,0.2830188679245283,0.4716981132075472,0.09433962264150944,0.09433962264150944,0.09433962264150944,2.547169811320755,1.4150943396226416,1.0377358490566038,3.5849056603773586,0.6603773584905661,5.943396226415095,74.62264150943396,40.09433962264151,0.4716981132075472,0.37735849056603776,46.88679245283019,3.679245283018868
776798,Abdallah Sima,Abdallah Sima,23.0,2001,sn SEN,"FW,MF",FW,Brest,Ligue 1,right,188.0,9000000,11000000,2025-06-03,exact_name_birth_year,100,27.0,14.0,1238.0,13.8,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,5.9,5.9,1.0,6.9,36.0,24.0,92.0,37.0,18.0,13.0,6.0,15.0,11.0,1.0,16.0,15.0,9.0,0.0,510.0,299.0,53.0,22.0,378.0,61.0,41.0,7.0,0.5072463768115941,0.14492753623188406,0.6521739130434783,0.5072463768115941,0.427536231884058,0.427536231884058,0.07246376811594203,0.5,2.608695652173913,1.7391304347826086,6.666666666666666,2.681159420289855,1.3043478260869565,0.9420289855072463,0.43478260869565216,1.0869565217391304,0.7971014492753623,0.07246376811594203,1.1594202898550725,1.0869565217391304,0.6521739130434783,36.95652173913043,21.666666666666664,3.8405797101449273,1.5942028985507246,27.391304347826086,4.420289855072464
724520,Abde Ezzalzouli,Abde Ezzalzouli,22.0,2001,ma MAR,"FW,MF",FW,Betis,Liga,right,177.0,12000000,20000000,2025-06-09,exact_name_birth_year,100,32.0,23.0,1984.0,22.0,2.0,2.0,4.0,2.0,0.0,1.0,2.0,0.0,8.0,7.2,2.0,9.3,117.0,68.0,215.0,61.0,25.0,27.0,19.0,37.0,25.0,7.0,44.0,27.0,19.0,0.0,1081.0,706.0,64.0,50.0,797.0,102.0,26.0,12.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.36363636363636365,0.32727272727272727,0.09090909090909091,0.4227272727272728,5.318181818181818,3.090909090909091,9.772727272727273,2.772727272727273,1.1363636363636365,1.2272727272727273,0.8636363636363636,1.6818181818181819,1.1363636363636365,0.3181818181818182,2.0,1.2272727272727273,0.8636363636363636,49.13636363636363,32.09090909090909,2.909090909090909,2.272727272727273,36.22727272727273,4.636363636363637
559979,Abdel Abqar,Abdel Abqar,25.0,1999,ma MAR,DF,DF,Alavés,Liga,right,188.0,7500000,7500000,,exact_name_birth_year,100,29.0,29.0,2463.0,27.4,0.0,1.0,1.0,0.0,0.0,0.0,13.0,0.0,0.9,0.9,0.3,1.2,16.0,79.0,4.0,12.0,1.0,8.0,10.0,36.0,23.0,39.0,75.0,6.0,146.0,1.0,1251.0,632.0,18.0,3.0,650.0,87.0,40.0,14.0,0.0,0.03649635036496351,0.03649635036496351,0.0,0.032846715328467155,0.032846715328467155,0.010948905109489052,0.043795620437956206,0.5839416058394161,2.883211678832117,0.14598540145985403,0.43795620437956206,0.03649635036496351,0.29197080291970806,0.36496350364963503,1.3138686131386863,0.8394160583941607,1.4233576642335768,2.737226277372263,0.21897810218978103,5.328467153284672,45.65693430656935,23.065693430656935,0.6569343065693432,0.10948905109489052,23.72262773722628,3.175182481751825
416386,Abdou Harroui,Abdou Harroui,26.0,1998,nl NED,"MF,FW",MF,Hellas Verona,Serie A,both,182.0,1800000,3500000,2025-06-17,exact_name_birth_year,100,10.0,5.0,463.0,5.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.2,2.2,0.4,2.6,23.0,21.0,34.0,15.0,4.0,4.0,3.0,9.0,6.0,2.0,11.0,6.0,5.0,0.0,283.0,175.0,12.0,10.0,203.0,22.0,8.0,0.0,0.19607843137254904,0.3921568627450981,0.5882352941176471,0.19607843137254904,0.4313725490196079,0.4313725490196079,0.07843137254901962,0.5098039215686275,4.509803921568627,4.11764705882353,6.666666666666667,2.9411764705882355,0.7843137254901962,0.7843137254901962,0.5882352941176471,1.7647058823529413,1.1764705882352942,0.3921568627450981,2.1568627450980395,1.1764705882352942,0.9803921568627452,55.490196078431374,34.31372549019608,2.3529411764705883,1.9607843137254903,39.80392156862745,4.313725490196079
62351,Abdoulaye Bamba,Abdoulaye Bamba,34.0,1990,ci CIV,DF,DF,Angers,Ligue 1,right,182.0,400000,3000000,,exact_name_birth_year,100,19.0,16.0,1510.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.3,0.4,1.0,16.0,3.0,1.0,0.0,6.0,4.0,22.0,12.0,19.0,41.0,4.0,79.0,0.0,743.0,408.0,3.0,4.0,468.0,47.0,11.0,5.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.005952380952380952,0.017857142857142856,0.023809523809523808,0.05952380952380952,0.9523809523809523,0.17857142857142858,0.05952380952380952,0.0,0.35714285714285715,0.23809523809523808,1.3095238095238095,0.7142857142857143,1.130952380952381,2.4404761904761902,0.23809523809523808,4.7023809523809526,44.226190476190474,24.285714285714285,0.17857142857142858,0.23809523809523808,27.857142857142858,2.7976190476190474
127187,Abdoulaye Doucouré,Abdoulaye Doucouré,31.0,1993,ml MLI,MF,MF,Everton,Premier League,right,183.0,7000000,25000000,2025-05-30,exact_name_birth_year,100,33.0,31.0,2564.0,28.5,3.0,2.0,5.0,3.0,0.0,0.0,5.0,1.0,4.1,4.1,2.4,6.6,42.0,82.0,96.0,31.0,9.0,28.0,15.0,48.0,28.0,10.0,58.0,27.0,20.0,1.0,1161.0,604.0,38.0,38.0,750.0,150.0,30.0,29.0,0.10526315789473684,0.07017543859649122,0.17543859649122806,0.10526315789473684,0.143859649122807,0.143859649122807,0.08421052631578947,0.23157894736842105,1.4736842105263157,2.8771929824561404,3.3684210526315788,1.087719298245614,0.3157894736842105,0.9824561403508771,0.5263157894736842,1.6842105263157894,0.9824561403508771,0.3508771929824561,2.0350877192982457,0.9473684210526315,0.7017543859649122,40.73684210526316,21.19298245614035,1.3333333333333333,1.3333333333333333,26.31578947368421,5.2631578947368425
