fbref_player,age,birth_year,nation,position,squad,competition,tm_match_method,tm_match_score
Rodrigo Abajas,21.0,2003,es ESP,DF,Valencia,es La Liga,none,78
Abel,23.0,2000,es ESP,DF,Osasuna,es La Liga,none,67
Adrián,37.0,1987,es ESP,GK,Betis,es La Liga,none,67
Oladapo Afolayan,26.0,1998,eng ENG,"FW,MF",St. Pauli,de Bundesliga,none,56
David Akpan Ankeye,22.0,2002,ng NGA,"FW,MF",Genoa,it Serie A,none,80
Ben Alexander Voll,23.0,2000,de GER,GK,St. Pauli,de Bundesliga,none,71
Alfon,25.0,1999,es ESP,"FW,MF",Celta Vigo,es La Liga,none,67
Domingos André Ribeiro Almeida,24.0,2000,pt POR,"MF,FW",Valencia,es La Liga,none,60
Olabade Aluko,,,,DF,Leicester City,eng Premier League,none,
Amath,28.0,1996,sn SEN,"FW,DF",Valladolid,es La Liga,none,62
Michael Amir Murillo,28.0,1996,pa PAN,DF,Marseille,fr Ligue 1,none,75
Faustino Anjorin,22.0,2001,eng ENG,MF,Empoli,it Serie A,none,86
Antoniu,21.0,2002,es ESP,"FW,MF",Espanyol,es La Liga,none,86
José Arnaiz,29.0,1995,es ESP,"FW,MF",Osasuna,es La Liga,none,76
Jann-Fiete Arp,24.0,2000,de GER,"FW,MF",Holstein Kiel,de Bundesliga,none,78
Dehmaine Assoumani,19.0,2005,fr FRA,"MF,FW",Nantes,fr Ligue 1,none,55
Valentin Atangana Edoa,18.0,2005,fr FRA,MF,Reims,fr Ligue 1,none,87
Yann Aurel Bisseck,23.0,2000,de GER,DF,Inter,it Serie A,none,80
Ezequiel Ávila,30.0,1994,ar ARG,FW,Betis,es La Liga,none,69
Aliou Badara Baldé,21.0,2002,gn GUI,"MF,FW",Bochum,de Bundesliga,none,76
Daniel Bandeira,24.0,2000,pt POR,MF,Hellas Verona,it Serie A,none,73
Adrian Baquerin,17.0,2007,es ESP,FW,Valladolid,es La Liga,none,71
Hannes Behrens,,,de GER,DF,Hoffenheim,de Bundesliga,none,
Carlos Benavídez,26.0,1998,uy URU,MF,Alavés,es La Liga,none,64
Victor Bernth Kristiansen,21.0,2002,dk DEN,DF,Leicester City,eng Premier League,none,87
Jan-Niklas Beste,25.0,1999,de GER,"FW,MF",Freiburg,de Bundesliga,none,86
Gleison Bremer,27.0,1997,br BRA,DF,Juventus,it Serie A,none,73
Ben Brereton,25.0,1999,cl CHI,FW,Southampton,eng Premier League,none,83
Emi Buendía,27.0,1996,ar ARG,"MF,FW",Aston Villa,eng Premier League,none,81
Emi Buendía,27.0,1996,ar ARG,MF,Leverkusen,de Bundesliga,none,81
Rareș-Cătălin Burnete,20.0,2004,ro ROU,FW,Lecce,it Serie A,none,76
Tiago Cardoso,18.0,2006,lu LUX,GK,Gladbach,de Bundesliga,none,76
José Carlos González,18.0,2006,es ESP,DF,Las Palmas,es La Liga,none,69
Carmona,22.0,2002,es ESP,DF,Sevilla,es La Liga,none,67
Valentín Castellanos,25.0,1998,ar ARG,FW,Lazio,it Serie A,none,78
Catena,29.0,1994,es ESP,DF,Osasuna,es La Liga,none,60
Julian Chabot,26.0,1998,de GER,DF,Stuttgart,de Bundesliga,none,77
Chema,19.0,2005,es ESP,MF,Real Madrid,es La Liga,none,59
Copete,24.0,1999,es ESP,DF,Mallorca,es La Liga,none,71
David Costa,23.0,2001,pt POR,"MF,FW",Lens,fr Ligue 1,none,88
Juan Cruz Armada,32.0,1992,es ESP,DF,Osasuna,es La Liga,none,72
Cucho,25.0,1999,co COL,FW,Betis,es La Liga,none,67
Samuel Dahl,24.0,2000,se SWE,"DF,MF",Roma,it Serie A,none,75
Pape Daouda Diongue,,,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,none,
Juan David Cabal,23.0,2001,co COL,DF,Juventus,it Serie A,none,77
Leif Davis,24.0,2000,eng ENG,DF,Ipswich Town,eng Premier League,none,67
Enrico Del Prato,24.0,1999,it ITA,DF,Parma,it Serie A,none,73
Diego,24.0,2000,es ESP,FW,Leganés,es La Liga,none,67
Sérigné Diop,19.0,2005,sn SEN,FW,Brest,fr Ligue 1,none,64
Djené,32.0,1991,tg TOG,"DF,MF",Getafe,es La Liga,none,56
Douglas,27.0,1997,br BRA,MF,Nantes,fr Ligue 1,none,64
Jáder Durán,20.0,2003,co COL,FW,Aston Villa,eng Premier League,none,67
Adam Dźwigała,28.0,1995,pl POL,"DF,MF",St. Pauli,de Bundesliga,none,85
Pierre Ekwah Elimby,22.0,2002,fr FRA,MF,Saint-Étienne,fr Ligue 1,none,77
Mikael Ellertsson,22.0,2002,is ISL,"DF,MF",Venezia,it Serie A,none,85
Emanuel Emegha,21.0,2003,nl NED,FW,Strasbourg,fr Ligue 1,none,69
Yunus Emre Konak,18.0,2006,tr TUR,"FW,MF",Brentford,eng Premier League,none,81
Estanis,20.0,2003,es ESP,FW,Bologna,it Serie A,none,64
Karl Etta,20.0,2003,cm CMR,"MF,FW",Villarreal,es La Liga,none,75
Jake Evans,,,,FW,Leicester City,eng Premier League,none,
Abdul Fatawu Issahaku,20.0,2004,gh GHA,FW,Leicester City,eng Premier League,none,76
Fran,19.0,2005,es ESP,GK,Real Madrid,es La Liga,none,75
Przemysław Frankowski,29.0,1995,pl POL,DF,Lens,fr Ligue 1,none,86
Darío Fuentes,21.0,2003,es ESP,DF,Sevilla,es La Liga,none,64
Idrissa Gana Gueye,34.0,1989,sn SEN,MF,Everton,eng Premier League,none,84
