season,fbref_player,age,birth_year,nation,position,squad,competition,player_id,tm_match_method,tm_match_score,source_file
2018_2019,Emmanuel Agyemang-Badu,27.0,1990,GHA,MF,Udinese,Serie A,,none,74,warehouse_2018
2018_2019,Alexander,29.0,1988,ARG,FW,Leganés,Liga,,none,75,warehouse_2018
2018_2019,Alfonso,18.0,1999,MOZ,MF,Hoffenheim,Bundesliga,,none,67,warehouse_2018
2018_2019,Allan,21.0,1997,BRA,MF,Eint Frankfurt,Bundesliga,385271,exact_name_birth_year,100,warehouse_2018
2018_2019,Júnior Alonso,25.0,1993,PAR,"DF,MF",Celta Vigo,Liga,273000,exact_name_birth_year,100,warehouse_2018
2018_2019,Amath,22.0,1996,SEN,MF,Getafe,Liga,,none,62,warehouse_2018
2018_2019,Luke Amos,21.0,1997,ENG,MF,Tottenham,Premier League,258912,exact_name_birth_year,100,warehouse_2018
2018_2019,Mauro Antonio Burruchaga,20.0,1998,ARG,MF,Chievo,Serie A,,none,80,warehouse_2018
2018_2019,Vitorino Antunes,31.0,1987,POR,"DF,MF",Getafe,Liga,,none,61,warehouse_2018
2018_2019,Nicolò Armini,17.0,2001,ITA,DF,Lazio,Serie A,421775,exact_name_birth_year,100,warehouse_2018
2018_2019,Ezequiel Ávila,24.0,1994,ARG,"FW,MF",Huesca,Liga,,none,69,warehouse_2018
2018_2019,Léo Baptistão,25.0,1992,BRA,"FW,MF",Espanyol,Liga,221899,exact_name_birth_year,100,warehouse_2018
2018_2019,Leandro Barreiro Martins,18.0,2000,LUX,MF,Mainz 05,Bundesliga,,none,80,warehouse_2018
2018_2019,Jóhann Berg Guðmundsson,27.0,1990,ISL,MF,Burnley,Premier League,,none,65,warehouse_2018
2018_2019,Emmanuel Boateng,22.0,1996,GHA,FW,Levante,Liga,332612,exact_name_birth_year,100,warehouse_2018
2018_2019,Gabriel Boschilia,22.0,1996,BRA,"FW,MF",Nantes,Ligue 1,,none,75,warehouse_2018
2018_2019,Bilal Boutobba,19.0,1998,FRA,"FW,MF",Montpellier,Ligue 1,344151,exact_name_birth_year,100,warehouse_2018
2018_2019,Pedro Brazão,15.0,2002,POR,"MF,FW",Nice,Ligue 1,577590,exact_name_birth_year,100,warehouse_2018
2018_2019,Gleison Bremer,21.0,1997,BRA,DF,Torino,Serie A,,none,73,warehouse_2018
2018_2019,Rafael Camacho,18.0,2000,POR,DF,Liverpool,Premier League,400831,exact_name_birth_year,100,warehouse_2018
2018_2019,Joel Campbell,26.0,1992,CRC,"FW,MF",Frosinone,Serie A,131248,exact_name_birth_year,100,warehouse_2018
2018_2019,Louis Carnot,17.0,2001,FRA,MF,Guingamp,Ligue 1,484991,exact_name_birth_year,100,warehouse_2018
2018_2019,Pape Cheikh Diop,20.0,1997,SEN,MF,Lyon,Ligue 1,,none,81,warehouse_2018
2018_2019,Tahith Chong,18.0,1999,NED,FW,Manchester Utd,Premier League,344830,exact_name_birth_year,100,warehouse_2018
2018_2019,Cucho,19.0,1999,COL,FW,Huesca,Liga,,none,67,warehouse_2018
2018_2019,Felipe dal Belo,34.0,1984,BRA,DF,SPAL,Serie A,,none,67,warehouse_2018
2018_2019,Matty Daly,17.0,2001,ENG,MF,Huddersfield,Premier League,566349,exact_name_birth_year,100,warehouse_2018
2018_2019,Jermain Defoe,35.0,1982,ENG,FW,Bournemouth,Premier League,3875,exact_name_birth_year,100,warehouse_2018
2018_2019,Mousa Dembélé,31.0,1987,BEL,MF,Tottenham,Premier League,19368,exact_name_birth_year,100,warehouse_2018
2018_2019,Mustapha Diallo,32.0,1986,SEN,MF,Nîmes,Ligue 1,41063,exact_name_birth_year,100,warehouse_2018
2018_2019,Lassana Diarra,33.0,1985,FRA,MF,Paris S-G,Ligue 1,23914,exact_name_birth_year,100,warehouse_2018
2018_2019,Tim Dierßen,22.0,1996,GER,MF,Hannover 96,Bundesliga,170516,exact_name_birth_year,100,warehouse_2018
2018_2019,Papakouli Diop,32.0,1986,SEN,MF,Eibar,Liga,,none,70,warehouse_2018
2018_2019,Johan Djourou,31.0,1987,SUI,DF,SPAL,Serie A,34561,exact_name_birth_year,100,warehouse_2018
2018_2019,Luke Dreher,19.0,1998,ENG,FW,Crystal Palace,Premier League,432293,exact_name_birth_year,100,warehouse_2018
2018_2019,Demeaco Duhaney,19.0,1998,ENG,DF,Huddersfield,Premier League,380913,exact_name_birth_year,100,warehouse_2018
2018_2019,Dennis Eckert,21.0,1997,GER,FW,Celta Vigo,Liga,,none,79,warehouse_2018
2018_2019,Harvey Elliott,15.0,2003,ENG,MF,Fulham,Premier League,565822,exact_name_birth_year,100,warehouse_2018
2018_2019,Emerson,19.0,1999,BRA,"FW,DF",Betis,Liga,687347,exact_name_birth_year,100,warehouse_2018
2018_2019,Felipe,31.0,1987,BRA,DF,Hannover 96,Bundesliga,,none,67,warehouse_2018
2018_2019,Ohis Felix Uduokhai,20.0,1997,GER,DF,Wolfsburg,Bundesliga,,none,85,warehouse_2018
2018_2019,Marouane Fellaini,30.0,1987,BEL,MF,Manchester Utd,Premier League,39679,exact_name_birth_year,100,warehouse_2018
2018_2019,Juan Ferney Otero,23.0,1995,COL,"FW,MF",Amiens,Ligue 1,,none,74,warehouse_2018
2018_2019,Wesley Fofana,17.0,2000,FRA,DF,Saint-Étienne,Ligue 1,475411,exact_name_birth_year,100,warehouse_2018
2018_2019,Idrissa Gana Gueye,28.0,1989,SEN,MF,Everton,Premier League,,none,84,warehouse_2018
2018_2019,Ganso,28.0,1989,BRA,"MF,FW",Amiens,Ligue 1,67920,exact_name_birth_year,100,warehouse_2018
2018_2019,James Garner,17.0,2001,ENG,MF,Manchester Utd,Premier League,505219,exact_name_birth_year,100,warehouse_2018
2018_2019,Angel Gomes,17.0,2000,ENG,"MF,FW",Manchester Utd,Premier League,392770,exact_name_birth_year,100,warehouse_2018
2018_2019,Prince-Désir Gouano,24.0,1993,FRA,DF,Amiens,Ligue 1,,none,81,warehouse_2018
2018_2019,Yoann Gourcuff,32.0,1986,FRA,"MF,FW",Dijon,Ligue 1,18912,exact_name_birth_year,100,warehouse_2018
